Restaurants,Street,City,State and Zip,Phone Number,Habitat,Platform Priority,Vendor Type,Menu Difficulty,Sales Step,EAT 24,GRUBHUB,GH & Yelp Reviews,Priority,Yelp Rating,Cuisine,Outsourced vs. in house,Uber Eats,Postmates,Caviar,Catering,DaaS,DaaS - GH,Order Method,iPad Serial No. ,Direct Deposit
MAMA'S VEGETARIAN,18 S 20th St, Philadelphia, PA 19103,(215) 751-0477,W.CC,Both,Fast Casual,Low (less than 100 Combos),Intro,N,N,300+,high,4.5,,,N,N,Y,,,,in-app,,
FARMERS KEEP ,10 S 20th St, Philadelphia, PA 19103,(215) 309-2928,W.CC,Both,Fast Casual,Low (less than 100 Combos),Onboard,Y,Y,100+,medium,4.5,,,N,N,N,,,,,,
Revolution Taco,2015 Walnut St, Philadelphia, PA 19103,(267) 639-5681,W.CC,,,,Onboard,N,Y,300+,medium,4,,,N,Y,N,,,,,DMPHM8D9DNQT,
LAZOS PIZZA & GRILL,873 N 26th St, Philadelphia, PA 19130,(215) 236-2300,W.CC,DaaS,Fast Casual,High (300+ Combos),Intro,Y,Y,300+,high,4,,,N,Y,N,,,,,,
INDIAN CUISINE,1939 Arch St, Philadelphia, PA 19103,(267) 761-9144,W.CC,Consumer,Dine in,Medium (100+ Combos),Test Transaction,Y,Y,300+,medium,4,,,Y,N,N,,,,,,
SPICE END,2004 Chestnut St, Philadelphia, PA 19103,(267) 639-9405,W.CC,Both,Fast Casual,Low (less than 100 Combos),Onboard,Y,Y,300+,high,3.5,,,Y,Y,Y,,,,,,
MACHI SUSHI BAR,209 S 20th St, Philadelphia, PA 19103,(215) 545-2388,W.CC,Both,Dine in,High (300+ Combos),Onboard,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
MIX BRICK OVEN PIZZA,2101 Chestnut St, Philadelphia, PA 19103,(215) 568-3355,W.CC,Both,Fast Casual,High (300+ Combos),Intro,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
TSUKI SUSHI,2135 Walnut St, Philadelphia, PA 19103,(215) 561-5666,W.CC,Both,Dine in,High (300+ Combos),Intro,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
JOHNS PLACE,1529 Spring Garden St, Philadelphia, PA 19130,(215) 665-0972,W.CC,DaaS,Fast Casual,High (300+ Combos),Intro,Y,Y,300+,medium,3.5,,,N,Y,N,,,,,,
PETES FAMOUS PIZZA,116 N 21st St, Philadelphia, PA 19103,(215) 567-4116,W.CC,DaaS,Dine in,High (300+ Combos),No for now,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
THE WRAP SHACK,120 S 18th St, Philadelphia, PA 19103,(215) 569-1666,W.CC,Both,Dine in,Medium (100+ Combos),No for now,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
DOLCE CARINI,1929 Chestnut St, Philadelphia, PA 19103,(215) 567-8892,W.CC,DaaS,Fast Casual,Medium (100+ Combos),Intro,Y,Y,300+,medium,3.5,,,Y,Y,Y,,,,,,
ANGELINOS RESTAURANT & PIZZERIA,849 N 25th St, Philadelphia, PA 19130,(215) 787-9945,W.CC,Both,Fast Casual,Medium (100+ Combos),No for now,N,Y,100+,low,4,,,N,Y,N,,,,,,
KING OF TANDOOR,1824 Callowhill St, Philadelphia, PA 19130,(215) 568-0751,W.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
MANDARIN PALACE,1835 Chestnut St, Philadelphia, PA 19103,(215) 557-6280,W.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
FOODS ON FIRST TOO,1429 Arch St, Philadelphia, PA 19102,(215) 568-3555,W.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
YUMMY PIZZA,1500 John F Kennedy Blvd STE 8, Philadelphia, PA 19102,(215) 568-7600,W.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,Y,,nonexistant,4.5,,,N,N,N,,,,,,
A MANDARIN RESTAURANT,2102 Chestnut St, Philadelphia, PA 19103,(215) 496-0828,W.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,300+,high,3,,,N,Y,N,,,,,,
GOLDEN LAKE,2206 Market St, Philadelphia, PA 19103,(215) 568-7727,W.CC,DaaS,Fast Casual,Low (less than 100 Combos),,Y,Y,100+,medium,3,,,N,Y,N,,,,,,
SLICE-RITTENHOUSE,1740 Sansom St, Philadelphia, PA 19103,(215) 557-9299,W.CC,Both,Dine in,Low (less than 100 Combos),,N,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
SZECHUAN HUNAN,274 S 20th St, Philadelphia, PA 19103,(215) 546-8080,W.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
THE SPOT,272 S 20th St, Philadelphia, PA 19103,(215) 731-9131,W.CC,Both,Fast Casual,Medium (100+ Combos),,N,Y,300+,high,3,,,Y,N,N,,,,,,
KAYU,1717 Arch St, Philadelphia, PA 19103,(267) 639-9949,W.CC,Both,Fast Casual,Low (less than 100 Combos),,N,Y,,nonexistant,3.5,,,Y,N,Y,,,,,,
REX PIZZA,1526 Race St, Philadelphia, PA 19102,(215) 557-9555,W.CC,Both,Fast Casual,Medium (100+ Combos),,Y,Y,300+,medium,2.5,,,Y,Y,N,,,,,,
PETES FAMOUS PIZZA RESTAURANT,116 N 21st St, Philadelphia, PA 19103,(215) 567-4116,W.CC,DaaS,Dine in,Medium (100+ Combos),,Y,Y,300+,high,3.5,,,N,N,N,,,,,,
TOWER STYLE PIZZA,132 S 20th St, Philadelphia, PA 19103,(215) 567-6700,W.CC,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,300+,medium,2,,,N,Y,N,,,,,,
CRAZY SUSHI,1837 Chestnut St, Philadelphia, PA 19103,(215) 988-0398,W.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,300+,very high,4,,,N,N,N,,,,,,
MATT AND MARIE'S,118 S. 18th Street, Philadelphia, PA 19103,(215) 563-2000,W.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,100+,low,4,,,Y,Y,Y,,,,,,
SU XING HOUSE,1508 Sansom St, Philadelphia, PA 19102,(215) 564-1419,W.CC,Both,Dine in,Medium (100+ Combos),,N,Y,300+,medium,4,,,Y,Y,N,,,,,,
